nome_com,wkt
Corsico,"MULTIPOLYGON (((9.11251745898025 45.4488103654189,9.11300395238759 45.4472565270084,9.11305178052184 45.4471356683389,9.11440078879219 45.4442540287064,9.11910721359009 45.440764937417,9.12146435495996 45.4383110052883,9.11883216127869 45.4362004264266,9.11880507793338 45.4330448035817,9.11862816976405 45.4296147983523,9.11822659427094 45.4282221421349,9.11773765358342 45.4280637649668,9.11589482490367 45.4274919474732,9.10767278633721 45.4256464766656,9.10756000423816 45.4256289419403,9.10751004979483 45.4257084206521,9.10718536848784 45.4262647682373,9.10709811371757 45.4264855050184,9.1068417406032 45.4274253795401,9.10684550014047 45.4282107545949,9.10560923958265 45.4281439380844,9.10509062557835 45.4281146826473,9.10484332607258 45.4280809177907,9.10388104459964 45.4279183432078,9.08871961972312 45.4241867440372,9.08813135458105 45.423998177404,9.08777270412243 45.4235124051004,9.0877588840928 45.4228373451374,9.08776207713897 45.4219077174769,9.07673906225536 45.4298907699413,9.07591539025212 45.4304231309043,9.07616077370012 45.4306723047626,9.07646061438103 45.4309214605446,9.0771692688241 45.431477228429,9.08270784827032 45.4342895064212,9.08340988615469 45.4331985544463,9.08456604573709 45.4315713693989,9.08593435165309 45.4298036752911,9.08608027968658 45.4296319451082,9.08973273259516 45.4284620801556,9.09069940239563 45.4287846850213,9.09215288124689 45.429404580379,9.09289384491896 45.429832550749,9.09344930855109 45.4318000885205,9.0925104063145 45.4337230524521,9.09209910618264 45.4342972879631,9.09175720238808 45.4346101291213,9.09117343809808 45.435143467008,9.09048924981839 45.4356932865844,9.08848129870323 45.4373058197913,9.08810210163792 45.4376706438632,9.08790364017816 45.4378643161167,9.08766138493501 45.4385552957268,9.0874677520939 45.439402131987,9.08750044194679 45.4395279553816,9.08829643492439 45.4395502385342,9.09869783453318 45.4389184914169,9.09885329249598 45.4388139658802,9.10012756536019 45.4379802689384,9.10159274398776 45.438481540036,9.10324691106412 45.4403698841378,9.10567275564857 45.4433537755146,9.10622715927834 45.4444630375113,9.10649141147294 45.4467738872156,9.10523972863084 45.4477281905502,9.10490003375577 45.4479175242648,9.11251745898025 45.4488103654189)))"
Cornaredo,"MULTIPOLYGON (((9.04753391774193 45.509080757969,9.05257030322805 45.5048100245702,9.05307948811835 45.5042958575844,9.05093865731536 45.5039562136616,9.04856005272738 45.5036345488903,9.04404160595603 45.5040726149149,9.04110017371609 45.5048849042467,9.03858334145621 45.5030465772396,9.03697929878967 45.5002487033339,9.03880373694864 45.4968466688411,9.04081279240398 45.4936902228365,9.03918044447608 45.4855467034136,9.03808991640131 45.4818567223597,9.03651049800102 45.4743685078888,9.03679075606712 45.4702044033535,9.03535584790653 45.4698234230651,9.03081361670846 45.4672774788022,9.03042925555466 45.4668995595443,9.0316425665028 45.4642529596913,9.02783075333655 45.4632278511684,9.02427491519996 45.462301568377,9.0218484369339 45.4688817035775,9.01947203167614 45.4738326274104,9.01746549228308 45.4777213424843,9.0159684724012 45.4773255112119,9.01580227431285 45.4777035748261,9.01380829419402 45.4822492740842,9.01302862817026 45.4841485428487,9.01162264678639 45.4876230366614,9.01127612425953 45.4887269037637,9.01222446780521 45.4894771521182,9.00974409189991 45.4952469332834,9.00947802220179 45.4958197841625,9.00929673518539 45.49621005968,9.00895121511998 45.4964891189871,9.00112393023935 45.500985377182,8.99959565818017 45.5009574181819,8.99882661821973 45.5036140807732,8.99870258782082 45.5040763597066,8.99854650266327 45.5047338886879,8.99880965803014 45.5048423743,9.01029621362453 45.5090975646412,9.02098663317021 45.5131570913138,9.02323049486236 45.5156390831793,9.0245967184893 45.5138404262422,9.0361966654791 45.5093504321062,9.03759921001594 45.5093769842482,9.04255363677308 45.5120760401418,9.04272778572993 45.5121069253665,9.04404512589417 45.5120479169653,9.04753391774193 45.509080757969)))"
Cormano,"MULTIPOLYGON (((9.17175457949262 45.5537255565431,9.17291193498983 45.5523195417858,9.17381151704885 45.5512206975438,9.17467966898123 45.5493628001904,9.17471852653733 45.5492706098321,9.1748569493161 45.5489421329119,9.17488424632676 45.5488276193843,9.17490302360781 45.5486983711375,9.17492950663846 45.5485160227642,9.1750040109536 45.5474920524672,9.17500341790696 45.5473009337628,9.17498604502689 45.5470114614541,9.1749829189267 45.5469596866193,9.17478065795472 45.5450566186372,9.17476937702855 45.5448194142461,9.18168363659988 45.5438671313032,9.18343539566245 45.5442868847671,9.18824315098439 45.5459157618572,9.18017939341958 45.5362753074046,9.17671490189709 45.5369060220171,9.17512061165167 45.5368545103243,9.16678190260112 45.536188262696,9.15954520613212 45.5343910008287,9.15734126767497 45.5341062188305,9.15691735086993 45.5340541734259,9.15399733898971 45.5366854716313,9.14898727449276 45.5449199327458,9.14884672525512 45.5456885928291,9.14867018513745 45.5467368048719,9.14978653861869 45.5518636458136,9.16922517745432 45.5566198955368,9.17175457949262 45.5537255565431)))"
Corbetta,"MULTIPOLYGON (((8.93939418353658 45.4874190649367,8.93926060753904 45.4870044187263,8.93920560037981 45.4868333793536,8.93916842348585 45.4860941833707,8.94085060597995 45.480047588503,8.94195074227758 45.480237173043,8.94259023342186 45.4804715126629,8.94404816646257 45.4811383043368,8.94491942464318 45.4815347598732,8.94563403692545 45.4818591309158,8.94669030425731 45.4821898041242,8.94766655273021 45.4794883508963,8.95082565844531 45.4707724080292,8.95480199807195 45.4674167161024,8.95654229415129 45.4666343045667,8.95730428321157 45.4669207952059,8.95689374371669 45.4681611829971,8.95511697344772 45.4699544601681,8.95524610613452 45.4699551372971,8.9564250617242 45.4698655806188,8.95769166106757 45.4691279845836,8.96443528376071 45.4631176824785,8.96487048849936 45.4626227756488,8.96519013423284 45.4621368283628,8.96529096347321 45.4616592387061,8.96405232688407 45.4612723891953,8.96272265505818 45.4610829422035,8.96210857679806 45.4613167582679,8.96166061786112 45.4617486611851,8.96132818476796 45.4621625924761,8.96018284363622 45.4618486390064,8.95726885902545 45.4597152131225,8.95982177479779 45.4569775500265,8.96211096931679 45.4571583388194,8.96477222247565 45.4541798900507,8.9654245415418 45.4533700122964,8.96662817790883 45.4501210293246,8.96720003482291 45.4477080697259,8.96542740845952 45.4473483991986,8.96506929225818 45.4474652905887,8.96473652373878 45.4479602491712,8.96398196923253 45.448761095154,8.96136121514857 45.4483191897906,8.96031345650335 45.447166712041,8.95899137827954 45.4445973880379,8.9572468054828 45.4436282490322,8.9550998553743 45.4426733236485,8.9508558060399 45.4429775974734,8.94559178837651 45.4459725277557,8.94474669219451 45.4471782518175,8.94336354642579 45.4492927909019,8.94277466624429 45.4499585683991,8.93951697826202 45.4469595756125,8.9391982399545 45.4460863217858,8.93919931324434 45.4450872047916,8.92415582595187 45.4402807070219,8.92134435591498 45.4392977159129,8.92149214439721 45.434140279635,8.92201799535002 45.4329164964371,8.91320594772666 45.4354664122501,8.91319121326135 45.4367265449925,8.91717926891545 45.4372785610693,8.91720404729005 45.4378276329085,8.91419798498717 45.4388695307491,8.91203790553712 45.4384538435724,8.90953045103923 45.4384637744466,8.9093855194998 45.4385308146828,8.90932335904983 45.4386290367234,8.90929214628354 45.4387600215293,8.90872733283458 45.4429631504976,8.90928409693216 45.4486193098703,8.90812810118861 45.452699232707,8.90790128773302 45.4584776266878,8.90628939894865 45.4664331208578,8.90539005563116 45.4687816048699,8.90366519227593 45.4686778374527,8.9019898293303 45.4699016073211,8.90082128951104 45.4714862854251,8.90037922573886 45.4739708708602,8.90061184500605 45.4799116424011,8.90073861020502 45.4805868164113,8.9025786700973 45.481974547578,8.90722104004322 45.4833285395706,8.90899984738369 45.4831679566639,8.91570673968418 45.4817149536617,8.91647140699125 45.4807007533746,8.91674116322508 45.4803430863673,8.91846346640284 45.4801868125444,8.92108304363096 45.4799816313661,8.93042110039977 45.4816078646329,8.93561396293483 45.4832580609651,8.93557010454096 45.4880554994728,8.93939418353658 45.4874190649367)))"
Colturano,"MULTIPOLYGON (((9.34064254886041 45.3885643791085,9.34226557789625 45.3886855423392,9.34853448860198 45.3881805155274,9.35144363388417 45.3876495474379,9.35317622423508 45.3869061201836,9.35461713926302 45.3865056177573,9.35851976984993 45.3855483178185,9.36005367953484 45.3857235204994,9.36053952051035 45.385793991658,9.36526290080767 45.3873541601844,9.35661224364176 45.3787675129129,9.35201028432666 45.3772897663171,9.35081136471261 45.3783624318652,9.35034000044013 45.3785529022388,9.3499050082413 45.3784282202194,9.34531174059456 45.3749767850057,9.34357947217835 45.373622860243,9.34324560093155 45.373317820412,9.3432794235997 45.372579633841,9.34317362334213 45.3719768968779,9.34253154004557 45.3713847469282,9.34168560128124 45.3708652261281,9.34076427022817 45.3705529391317,9.33746307677703 45.3694466073114,9.3369761376035 45.3692950234697,9.33619655384155 45.3690543031856,9.33503331291038 45.3688506870965,9.33414011712628 45.3689613090266,9.33414068392355 45.3712295749331,9.33406678539905 45.3716888562906,9.32761475065691 45.3782017995413,9.32353819208642 45.3819758414822,9.32231718061944 45.3872358894173,9.32227152936893 45.3880551185367,9.32522630216713 45.3888928313516,9.32700224063752 45.3890947941628,9.32787132786851 45.3891733020103,9.33780095298894 45.3889137014853,9.34064254886041 45.3885643791085)))"
Cologno Monzese,"MULTIPOLYGON (((9.27237871606245 45.5505042144291,9.27239126329836 45.5502041143197,9.27241156978167 45.5498075038842,9.27242506815259 45.5496038545733,9.27517983768759 45.5470665985169,9.2786191021175 45.5457351367,9.28506420524408 45.5447598776146,9.29273710956488 45.5435132193824,9.30254278772073 45.5394617906621,9.30613158797466 45.5375797989668,9.30979744660242 45.5359990779249,9.31048416701235 45.5297473113253,9.30651817245709 45.5296918825734,9.30408858399443 45.5269971847525,9.29431444881911 45.5268121257759,9.2942821430008 45.5255250986429,9.2930848572604 45.5242860621131,9.28941769246217 45.5233053225671,9.28863594794322 45.5231722920309,9.28706042599812 45.5230592633792,9.28594679453431 45.5231250450607,9.27895168787157 45.5223322740171,9.27265636550658 45.5204527518873,9.27060401519046 45.5197961211002,9.26860157619294 45.5187297593566,9.26771568907006 45.5182097971303,9.26940314364036 45.5177242726978,9.25968781480829 45.5199721536254,9.25952790367821 45.5199253464924,9.25951302668295 45.5199973822924,9.25949229317623 45.5202958522277,9.25956264721538 45.5205868884519,9.25967946442492 45.520951093706,9.26016796996838 45.522170916833,9.26193335133445 45.5247487738317,9.2630669992623 45.5262133024666,9.26359327479737 45.5264821241481,9.26463222994351 45.5268577583664,9.26529932904951 45.5271172315303,9.26556900147211 45.5272786184235,9.26568375637487 45.5274386135402,9.26583969298181 45.5276560260212,9.26709883453755 45.5312533988611,9.26672512201514 45.5393589788898,9.26416550802658 45.542556206219,9.26374206583478 45.5429937295206,9.26347362653462 45.5431113464728,9.26328690443896 45.543156791671,9.26213356932422 45.5433844634961,9.26137846757073 45.5434311895428,9.26124108105029 45.5433279994008,9.26094070945338 45.5432926855329,9.26042905092806 45.543442354265,9.26031492513715 45.5435191317861,9.26023274215143 45.5437533337895,9.26019158934923 45.5439424456029,9.26015841729891 45.5441270406326,9.26022238606059 45.5443744216181,9.26256139130585 45.5497335164443,9.26280301248918 45.5502100031779,9.26306969782461 45.5504794230685,9.2633288705033 45.5506003209341,9.26534600638753 45.5515092388192,9.2696966768666 45.5522280244332,9.27237871606245 45.5505042144291)))"
Cisliano,"MULTIPOLYGON (((8.98677777700513 45.4638875321811,8.98565672118754 45.4614288193768,8.98561826170047 45.4612480889839,8.98564400759132 45.460949868848,8.98581117402949 45.4597253839951,8.98617107260186 45.4574978436602,8.98893454244699 45.4559352480995,8.98964937729274 45.4560884638419,8.98975204231635 45.4561381707377,8.99408967411958 45.4577651186215,9.00057589672286 45.4549504003986,9.00143274778842 45.4545543589157,9.00346526673306 45.4529251476739,9.00225029969596 45.4514850310604,9.00209683439856 45.4510349897649,9.00180269154349 45.4500628835682,9.00262107717948 45.4493247929506,9.00429534091414 45.4478845943355,9.00914031592296 45.4440589245848,9.01168365419049 45.4423440068888,9.01347296639623 45.4409396620964,9.01500634035919 45.4389412707356,9.01637223902108 45.4343055935753,9.01437785002885 45.4341348512286,9.01542529830635 45.4325325465905,9.01587264352549 45.4321994393389,9.01813446827607 45.4305879385506,9.01915650752088 45.4299127019878,9.02416554213524 45.427076442688,9.02454712782442 45.426419301194,9.02483803281201 45.4257261580583,9.02201723599552 45.424934647498,9.02036422457139 45.4268611561405,9.01550035022493 45.4279060380949,9.01462471120218 45.4278161403889,9.01160733191205 45.4247651677259,9.0067421459219 45.4214441988007,9.00450573063167 45.4201391639454,9.00333860769374 45.419608157581,9.00187965209514 45.4213633826073,9.00197672544532 45.4217054051347,9.00197674083628 45.422146457015,9.00187969241642 45.4225785140342,9.00158733709792 45.4230195513817,8.99905812111845 45.4246757403835,8.98874731254954 45.4250262284184,8.98689868435183 45.4250260313419,8.9843697275084 45.4253767507845,8.98144998417424 45.4284276327449,8.97989523927018 45.4251150265698,8.98057609352691 45.4210107087757,8.98018791752337 45.4196965014667,8.97828302883732 45.417922952912,8.97620240891761 45.4174319916118,8.97387526127325 45.4180840464428,8.96912103764616 45.4192709857487,8.9688525282444 45.4194689495085,8.96707525277412 45.4214486480788,8.96703744630871 45.4218229388047,8.96710045669557 45.4227177979479,8.9675972845662 45.4263453216834,8.9678255624418 45.4295226449704,8.96774780295201 45.4326101621475,8.96351264598983 45.4409931377886,8.96094111466261 45.4444216405353,8.95899137827954 45.4445973880379,8.96031345650335 45.447166712041,8.96136121514857 45.4483191897906,8.96398196923253 45.448761095154,8.96473652373878 45.4479602491712,8.96506929225818 45.4474652905887,8.96542740845952 45.4473483991986,8.96720003482291 45.4477080697259,8.96662817790883 45.4501210293246,8.9654245415418 45.4533700122964,8.96477222247565 45.4541798900507,8.96211096931679 45.4571583388194,8.96410492509131 45.4583831020759,8.96551147926033 45.4588966043132,8.96992338099615 45.4585107959394,8.97064021658631 45.4572958587191,8.9710621328609 45.4568279307096,8.9716122705178 45.4564320169359,8.97190642063668 45.4564140986371,8.97319790101346 45.4568824626857,8.97432308832038 45.4575037768109,8.97470665156077 45.4578098834329,8.97545109038352 45.4599657750668,8.97575333712686 45.4635256925229,8.9756380012038 45.4640027175068,8.98474390155453 45.4672086134631,8.98677777700513 45.4638875321811)))"
Cinisello Balsamo,"MULTIPOLYGON (((9.21755227562126 45.5791769176951,9.22421295138284 45.5773556781042,9.22615563531308 45.5766045555993,9.22445656946106 45.5744317052873,9.22393485328115 45.5738768488434,9.22223564009592 45.5722231619474,9.22127429658158 45.5712875192838,9.22093282778879 45.5708024017406,9.22120061688877 45.5703294702004,9.22804370176978 45.572131731963,9.2280437905353 45.5692934707307,9.22810859777608 45.566857574775,9.23613778838157 45.5636624734092,9.23997582329562 45.5639983152596,9.24202089794138 45.5641777833499,9.24726574486753 45.5646414166545,9.25680348409933 45.5580377231306,9.25618371062168 45.5573055155796,9.25564207203488 45.5567711976426,9.25438859171157 45.5558946968727,9.25137262320632 45.5541847751278,9.23490962797534 45.5477294799849,9.22768231447806 45.5423144282753,9.22200211617499 45.5395545783414,9.21878179265923 45.5384382039956,9.21172643427856 45.5384095992858,9.2098814254021 45.538427179402,9.20719565530846 45.5406311739893,9.20611213198723 45.5417275730073,9.20580591870689 45.5425452129307,9.20573339292313 45.5431225543233,9.20209439501636 45.5452280090261,9.19849303185283 45.5462449814835,9.19363558442782 45.5467566515537,9.19557808386157 45.5506922414769,9.1989966155778 45.556272662932,9.19840496067602 45.5615668082306,9.19774616081213 45.5630588726216,9.19628166431008 45.5628960493004,9.19540513109334 45.5626678890462,9.19359332588914 45.5666869182028,9.19994931530043 45.574610374898,9.20210914057228 45.5764148618071,9.20245098562465 45.5765434384596,9.20419340214658 45.5769316220022,9.2125481602601 45.5788507021209,9.21755227562126 45.5791769176951)))"
Cesate,"MULTIPOLYGON (((9.06687902278783 45.6107795173916,9.06689025593933 45.6094474047543,9.06703033072459 45.6086192592391,9.06940045401102 45.6074117666146,9.07393822551614 45.6066888560503,9.0744767274827 45.6066255015345,9.09163542605786 45.6058074688377,9.09570501113298 45.6054846080037,9.10093005771982 45.6025998942676,9.10193315830013 45.5978196467868,9.1016315445117 45.5945391549119,9.09784455042184 45.5917072530887,9.09484595306636 45.5919797948536,9.0943819168578 45.590711074473,9.09441882537631 45.589783971909,9.0966534357876 45.5888659244432,9.09644375598928 45.5881968382286,9.08174246140718 45.5888191327937,9.06519594692761 45.5877043579815,9.06645573526857 45.5910142581866,9.06711600024236 45.5961082615394,9.06709108038278 45.5967023298019,9.06664401137466 45.5977826785988,9.06629833891831 45.5981969131468,9.06427340498038 45.5985850980997,9.06144338634141 45.6010978372031,9.06171763486197 45.6052830095834,9.0620795588979 45.6075329756406,9.06238853743991 45.6086218885323,9.06687902278783 45.6107795173916)))"
Cesano Boscone,"MULTIPOLYGON (((9.09048245912368 45.4541007602727,9.09101722243704 45.4540230490484,9.09290943809359 45.4537154998633,9.0942665548551 45.4532423708539,9.09441003736197 45.4531881505381,9.09489617495351 45.4526894721898,9.09549270411047 45.4520301942039,9.09570051488609 45.4517959990787,9.09589440675613 45.451555858443,9.09599569553716 45.4514233365255,9.09614433723223 45.4512285657057,9.09641189088374 45.4506432830246,9.09962101651124 45.448345291132,9.10039371227755 45.447813556405,9.10490003375577 45.4479175242648,9.10523972863084 45.4477281905502,9.10649141147294 45.4467738872156,9.10622715927834 45.4444630375113,9.10567275564857 45.4433537755146,9.10324691106412 45.4403698841378,9.10159274398776 45.438481540036,9.10012756536019 45.4379802689384,9.09885329249598 45.4388139658802,9.09869783453318 45.4389184914169,9.08829643492439 45.4395502385342,9.08750044194679 45.4395279553816,9.0874677520939 45.439402131987,9.08766138493501 45.4385552957268,9.08790364017816 45.4378643161167,9.08810210163792 45.4376706438632,9.08848129870323 45.4373058197913,9.09048924981839 45.4356932865844,9.09117343809808 45.435143467008,9.09175720238808 45.4346101291213,9.09209910618264 45.4342972879631,9.0925104063145 45.4337230524521,9.09344930855109 45.4318000885205,9.09289384491896 45.429832550749,9.09215288124689 45.429404580379,9.09069940239563 45.4287846850213,9.08973273259516 45.4284620801556,9.08608027968658 45.4296319451082,9.08593435165309 45.4298036752911,9.08456604573709 45.4315713693989,9.08340988615469 45.4331985544463,9.08270784827032 45.4342895064212,9.0771692688241 45.431477228429,9.07646061438103 45.4309214605446,9.07616077370012 45.4306723047626,9.07591539025212 45.4304231309043,9.07673906225536 45.4298907699413,9.07471779360725 45.4296468366977,9.07037566667086 45.4323498919922,9.06961023468109 45.4333314528401,9.06949556816456 45.4336375630178,9.07048056731929 45.4344650475766,9.07408570449549 45.4347417883296,9.078087694722 45.4371198778303,9.08019004811742 45.4394046566781,9.07864932390039 45.4444999665454,9.07819103258514 45.4524978927175,9.0790540259727 45.4539059422757,9.08781970605017 45.4536745164047,9.09048245912368 45.4541007602727)))"
Cerro Maggiore,"MULTIPOLYGON (((8.94645810618143 45.6103861188232,8.94558732793438 45.6100030673961,8.94223440195851 45.6079701554312,8.94298705681659 45.6070225791505,8.94937078490878 45.605589976503,8.94944207165046 45.6056350222503,8.9528390303542 45.6080126483244,8.95922186119379 45.6098377415501,8.96832610253273 45.6092105763503,8.96966005138397 45.6079823541187,8.97177649982243 45.6053006923359,8.97190520741433 45.6035635988198,8.97131680047857 45.6007462395936,8.97075302677428 45.5991979673014,8.9705225637031 45.5985768688526,8.97004907040854 45.5969026232113,8.97022885767322 45.596353630859,8.97135756571372 45.5938607260248,8.97248656861641 45.5913678090132,8.97374381140669 45.5886228878427,8.97546167528814 45.5874801750868,8.9793191304194 45.5892360782233,8.9816018817661 45.5903733804092,8.98459956956473 45.5919911250721,8.99962151042555 45.5782480910547,8.99329160936183 45.5744225790573,8.99040863492675 45.5730992730117,8.98519763735941 45.5719218489991,8.97870992062152 45.5709285126006,8.97259841325354 45.5706481820755,8.97233360733892 45.5725513395148,8.971133676793 45.5738352113644,8.96798256401378 45.5755703818171,8.96450763614258 45.5789356207506,8.9647240822506 45.5812488852027,8.96410839098545 45.5819327404233,8.9625285671553 45.5835200918429,8.96146654557868 45.5845870903594,8.96118484208399 45.5847310153242,8.95672426768978 45.5849634256413,8.95174130070985 45.584737904807,8.95020703215232 45.5855692069642,8.9463391951027 45.5880867691038,8.94594634916491 45.5883476015748,8.94541240966917 45.5887197031332,8.9451779081472 45.5888831326888,8.94517613086411 45.5902241822217,8.94610562846673 45.5910388844436,8.94404029210285 45.5923789970788,8.93608453123467 45.5942889493079,8.9381809381931 45.596285834433,8.94319838644779 45.6009112233602,8.94535073293993 45.6027124239011,8.9359967702794 45.6083419871142,8.93453184919428 45.6089274858551,8.93333133234628 45.6094457467529,8.93208279358164 45.610010104773,8.93054376098695 45.6107239692396,8.93278756052272 45.6110943477465,8.94013895728244 45.6116376491886,8.94645810618143 45.6103861188232)))"
Cerro al Lambro,"MULTIPOLYGON (((9.32301438547784 45.3516395865256,9.33389579874636 45.3513109413699,9.33521280467288 45.3506083720739,9.33639201461466 45.3488395514791,9.3370908658744 45.3476291097274,9.34247633288901 45.3410693027723,9.34270747245477 45.3391873762613,9.34345043134984 45.335413679692,9.34731513827906 45.3280120782995,9.34795952658047 45.3269659989138,9.34860541144157 45.3261719263157,9.34896053068629 45.3258197972572,9.35571459172728 45.3217407518344,9.33987730480278 45.3139021276491,9.33906107791155 45.3154893085457,9.33430313139249 45.313424069943,9.33268119014492 45.3131137631591,9.32682043789295 45.3166321374546,9.32159447578706 45.3216965921426,9.31090160050216 45.3280899965146,9.31015012910872 45.3288300744574,9.30657077104652 45.3315851371921,9.30047786386858 45.3355629876526,9.29975985771874 45.3372538423854,9.30822778283631 45.34355453705,9.30867975729529 45.3439559776229,9.32103786251541 45.3529326780309,9.32213561195487 45.3537119996023,9.32277955924913 45.3526030409477,9.32301438547784 45.3516395865256)))"
Cernusco sul Naviglio,"MULTIPOLYGON (((9.32803734516582 45.5469855468278,9.32841625701379 45.5446847579915,9.33995172191948 45.5416177456236,9.34860507777148 45.5407725864408,9.35311868655071 45.5415777461798,9.35812419399612 45.5349275575852,9.3590289154841 45.5350240566357,9.36770637479069 45.5282600673053,9.36828234636476 45.5271593641978,9.36000153216381 45.5262549733759,9.35861742193381 45.5260703083968,9.35579543195745 45.5252960530632,9.35548743499757 45.5251890095091,9.34599192594543 45.5065279618189,9.3491275727103 45.5040143926667,9.34908585273767 45.5011898581299,9.34491155305097 45.5018357003178,9.3446279248797 45.5033525644847,9.34452956178071 45.5035489958088,9.34296746713888 45.5053468364621,9.33815079726252 45.5045553302535,9.33297331953822 45.5111146529615,9.33292385020031 45.5128673435337,9.33432723890617 45.5142512644327,9.3341268803559 45.5157590436309,9.33408816700094 45.5159519364292,9.33398856804443 45.5159627352418,9.32604234742744 45.5155375505295,9.31182945652663 45.5147675713256,9.3063028777699 45.514292677163,9.30440240606107 45.5187695189421,9.30024480293149 45.5217607483554,9.30006942053344 45.5242509506978,9.30449338477665 45.5269296301057,9.30408858399443 45.5269971847525,9.30651817245709 45.5296918825734,9.31048416701235 45.5297473113253,9.30979744660242 45.5359990779249,9.30613158797466 45.5375797989668,9.3139027206249 45.5377140486149,9.32527372044515 45.53997331219,9.32658265728024 45.5409252858316,9.32630698872883 45.5447750814112,9.32288354684273 45.5452954006801,9.3223336076772 45.5483471395453,9.32803734516582 45.5469855468278)))"
Castano Primo,"MULTIPOLYGON (((8.78343717372571 45.5672284397689,8.7881015961087 45.5672281918905,8.79935085370937 45.5641252409178,8.79884727851139 45.5616131378346,8.79879773166721 45.5611360272248,8.80271892056917 45.5610168550228,8.80456368174245 45.5611010228309,8.81164646362595 45.5619409920924,8.80611822063996 45.5598885699915,8.80432864971819 45.5586794317118,8.803730360036 45.5575623094569,8.79734706506097 45.5440860176479,8.79575913970421 45.5404378732154,8.796357926282 45.5396521408436,8.79873177209999 45.5365368106774,8.80079152543511 45.5335431525092,8.80112791032433 45.5325806557743,8.79709994647799 45.5273261071611,8.79502501501187 45.5239291009064,8.79149196323801 45.5271269898489,8.76538294229013 45.5381653347364,8.76214876274468 45.5399903379324,8.75462283779991 45.5412739918817,8.75174884967615 45.5406747325916,8.7468963287059 45.543121300768,8.74113887130136 45.5430417616576,8.73157023892509 45.541826213095,8.72721630829416 45.5389716496558,8.72609149174728 45.535863688095,8.72328787646501 45.5330126787584,8.72047547997777 45.5319917363737,8.71207329958212 45.5422677705957,8.71375677667667 45.5437001132729,8.71786008538429 45.5453754639513,8.71861916394904 45.544711294351,8.71946669911233 45.5442813327339,8.72040315081072 45.5440045992392,8.72286494368663 45.5435065683419,8.72343413996673 45.5434269327534,8.72628144820369 45.54422586355,8.72675417675159 45.5444790187815,8.733787939007 45.549581063874,8.73619940839625 45.5516568213355,8.73733473725426 45.5526945377194,8.73790849313076 45.5532808995819,8.7384431810365 45.5540111901959,8.73852992361885 45.554344778667,8.73854386981082 45.5543984515058,8.74024242121957 45.5611258878782,8.74146168029754 45.5634778403307,8.74646807261691 45.5642991407285,8.75017831719054 45.5655944174056,8.75239460772649 45.5664430647909,8.75057900067247 45.5677104647079,8.74373425341138 45.5726007088177,8.74881178270058 45.5731970473749,8.75525215552366 45.5745611328343,8.75786319041866 45.575358747434,8.75814237642301 45.5730191517958,8.76057849646689 45.5727542698069,8.7631401551069 45.5731016439643,8.7655600519056 45.5736466633094,8.76723913822672 45.5735961051275,8.76988987234975 45.5709822604805,8.7711273983964 45.5691935998791,8.7721675810021 45.5654873727866,8.77388375519528 45.5657068049422,8.78343717372571 45.5672284397689)))"
Cassinetta di Lugagnano,"MULTIPOLYGON (((8.91320594772666 45.4354664122501,8.92201799535002 45.4329164964371,8.92259327867837 45.4328988966431,8.92377017879785 45.4323236273323,8.92511592840674 45.4297232476245,8.92555178577263 45.4287784232194,8.92578303433174 45.4278964718354,8.9246987921547 45.4261675780863,8.92461723707572 45.4261546763217,8.92287130601638 45.4258783279686,8.92110780238509 45.4255440961014,8.91833515637347 45.4247770638648,8.91713421799928 45.4243891593289,8.91682934733558 45.4242154000747,8.91649821236546 45.4237793201144,8.91713585082485 45.4232730382725,8.91929782435292 45.4219604461039,8.91730417826813 45.4217789944882,8.9164722914111 45.4225254811229,8.91322645794946 45.4220820104728,8.91130981939792 45.4217115076996,8.90948404466815 45.4204679391156,8.908745676719 45.4186491518968,8.90565429381126 45.4177195391869,8.90464501897542 45.4174936776378,8.89715768777878 45.4163800536594,8.89664561782821 45.4168566449658,8.89505331674659 45.4183403645871,8.8969613096218 45.4189541660144,8.89751945219187 45.4212769076032,8.89746006565523 45.4213309771276,8.89626480785006 45.4224189032915,8.89619034395367 45.4224815426724,8.89516385730784 45.4233449984824,8.8946253708634 45.4242445966969,8.89283893050715 45.4293824905857,8.89277667405763 45.4298321468734,8.90172912796482 45.4353354329361,8.91319121326135 45.4367265449925,8.91320594772666 45.4354664122501)))"
